,raw_Time,raw,rendered_Time,rendered
1587681,12.8906,1607914,-0.517179,
1587682,12.8941,1607931,-0.0544541,
1587683,12.8975,1607946,0.353909,
1587684,12.9009,1607962,0.789102,
1587685,12.9042,1607981,1.3047,
1587686,12.9075,1607996,1.71034,
1587687,12.9107,1608012,2.14114,
1587688,12.9138,1608032,2.67621,
1587689,12.9169,1608051,3.1802,
1587690,12.92,1608069,3.65302,
1587691,12.923,1608089,4.17227,
1587692,12.9259,1608098,4.40359,
1587693,12.9288,1608113,4.78562,
1587694,12.9316,1608129,5.1879,
1587695,12.9344,1608146,5.60893,
1587696,12.9371,1608163,6.02285,
1587697,12.9397,1608179,6.40546,
1587698,12.9423,1608201,6.91971,
1587699,12.9448,1608218,7.30708,
1587700,12.9473,1608236,7.70714,
1587701,12.9497,1608256,8.13877,
1587702,12.9521,1608263,8.28651,
1587703,12.9544,1608279,8.61746,
1587704,12.9567,1608297,8.97819,
1587705,12.9588,1608313,9.28815,
1587706,12.961,1608329,9.58767,
1587707,12.9631,1608346,9.89411,
1587708,12.9651,1608367,10.2553,
1587709,12.9671,1608385,10.5491,
